student_id,age,gender,major,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,previous_gpa,semester,stress_level,dropout_risk,social_activity,screen_time,study_environment,access_to_tutoring,family_income_range,parental_support_level,motivation_level,exam_anxiety_score,learning_style,time_management_score,exam_score
135081,20,Other,Arts,2.0,3.6,1.7,No,99.3,8.7,Good,7,Some College,High,6.3,Yes,3.47,2,6.8,No,5,7.5,Co-Learning Group,No,Medium,7,2,10,Visual,6.2,90
115666,26,Male,Business,3.6,3.8,1.4,Yes,67.1,7.4,Good,3,Some College,Medium,3.6,No,4.0,8,8.6,No,5,9.3,Library,Yes,Medium,8,10,5,Visual,9.4,99
120354,28,Other,Biology,6.5,3.4,1.4,No,69.1,5.6,Good,4,PhD,High,6.5,No,4.0,2,1.4,No,5,12.5,Co-Learning Group,Yes,Low,5,7,8,Reading,7.5,99
160703,17,Female,Biology,7.3,4.8,1.7,Yes,97.2,7.0,Good,7,Bachelor,Low,6.0,Yes,3.67,7,7.9,No,3,15.1,Library,No,Low,1,8,7,Auditory,6.7,93
108586,28,Female,Arts,3.1,1.0,1.1,No,53.3,6.4,Good,3,Some College,Low,6.1,No,4.0,4,8.1,No,0,7.2,Cafe,No,High,5,8,7,Auditory,2.4,100
127227,22,Other,Engineering,6.6,2.6,1.9,Yes,61.7,5.0,Fair,0,Bachelor,Low,7.6,No,4.0,7,4.0,No,1,11.2,Co-Learning Group,No,Low,8,7,8,Auditory,5.0,100
159396,24,Female,Psychology,6.3,2.9,1.0,Yes,76.7,7.6,Good,6,Some College,Medium,9.4,Yes,4.0,5,5.1,No,2,11.4,Cafe,Yes,Medium,7,7,8,Reading,9.8,100
176636,26,Female,Biology,1.0,1.4,0.6,Yes,53.9,8.4,Good,4,Bachelor,Low,9.0,No,4.0,5,4.6,No,3,3.1,Cafe,No,Low,4,7,8,Reading,3.2,100
130091,24,Female,Business,1.6,1.1,1.0,No,91.9,6.4,Good,7,Master,Medium,7.1,No,3.21,5,5.8,No,1,4.7,Quiet Room,No,High,9,2,10,Kinesthetic,9.2,88
172165,21,Other,Business,8.0,3.3,1.8,No,95.3,6.2,Good,0,Bachelor,High,10.0,Yes,4.0,5,5.0,No,5,13.7,Co-Learning Group,No,High,9,8,7,Auditory,7.5,100
116335,23,Other,Psychology,4.1,2.1,0.8,Yes,84.5,6.4,Good,4,High School,Medium,9.3,Yes,4.0,1,3.6,No,0,8.2,Dorm,No,High,10,5,10,Reading,7.8,100
134062,17,Female,Business,5.8,1.8,3.2,No,93.1,6.2,Fair,2,Master,Low,8.5,Yes,3.56,4,5.9,No,5,11.4,Co-Learning Group,Yes,Low,4,7,8,Auditory,5.4,86
119729,25,Other,Arts,1.2,3.8,0.8,Yes,51.0,5.2,Good,7,PhD,High,6.5,No,3.8,6,8.3,No,5,5.9,Dorm,Yes,Low,5,6,9,Visual,4.9,94
175846,18,Other,Computer Science,8.536337553744247,2.5,0.4,Yes,54.6,5.0,Good,3,Some College,Low,6.5,Yes,4.0,4,1.0,No,3,13.1,Cafe,No,Low,3,8,7,Visual,2.0,92
115391,25,Male,Arts,4.4,4.8,2.6,Yes,83.6,6.4,Fair,1,High School,Medium,5.7,Yes,3.58,4,6.4,No,2,12.1,Cafe,Yes,High,6,2,10,Auditory,7.7,97
111311,20,Male,Biology,4.7,0.6,3.7,No,54.9,4.3,Fair,6,High School,High,4.3,No,3.4,7,4.5,No,1,10.2,Co-Learning Group,No,Medium,2,3,10,Auditory,8.2,78
130051,25,Male,Biology,5.7,4.6,3.8,No,49.1,4.9,Good,4,High School,Low,8.1,Yes,3.74,4,3.4,No,2,15.4,Co-Learning Group,No,Medium,1,3,10,Reading,9.5,95
127072,25,Other,Psychology,6.2,4.1,1.4,Yes,91.4,7.8,Good,0,Some College,Low,3.3,No,4.0,6,5.1,No,4,12.7,Co-Learning Group,Yes,Medium,6,6,9,Kinesthetic,8.8,99
158493,16,Male,Psychology,3.3,4.7,0.7,No,50.7,5.9,Good,0,Some College,Low,7.6,No,3.65,7,2.7,No,3,10.6,Dorm,No,High,3,10,5,Visual,3.4,93
107468,24,Other,Biology,3.3,0.9,3.6,No,77.6,8.7,Poor,7,High School,High,8.3,No,3.59,3,7.1,No,5,9.0,Library,Yes,Low,6,8,7,Visual,7.2,88
131902,21,Other,Computer Science,5.438164968032649,2.5,0.5,Yes,46.5,5.8,Fair,3,PhD,High,2.9,Yes,3.45,6,6.7,No,3,8.6,Co-Learning Group,Yes,High,2,2,10,Kinesthetic,8.5,90
